siren,date_cloture_exercice,ca,resultat_net,type_bilan,annee_cloture_exercice
005781133,2022-12-31,185976000.0,8317000.0,K,2022
005781133,2021-12-31,164054000.0,7378000.0,K,2021
005781133,2020-12-31,149321000.0,3549000.0,K,2020
005781133,2019-12-31,159719000.0,4348000.0,K,2019
005880679,2020-12-31,2230999.0,-1271999.0,C,2020
005880679,2019-12-31,2627588.0,-145449.0,C,2019
006380042,2022-12-31,62931772.0,11133844.0,C,2022
006380042,2021-12-31,61683377.0,10444350.0,C,2021
006380042,2020-12-31,54129298.0,9177023.0,C,2020
006380042,2019-12-31,48212245.0,6527091.0,C,2019
007080021,2022-12-31,1794456486.0,333789.0,C,2022
007080021,2021-12-31,1665577688.0,900740.0,C,2021
007080021,2020-12-31,1629384032.0,266190.0,C,2020
007080021,2019-12-31,1520281291.0,181074.0,C,2019
015851793,2021-12-31,240969855.0,7210227.0,C,2021
015851793,2020-12-31,204899478.0,1688108.0,C,2020
015851793,2019-12-31,205605607.0,572716.0,C,2019
016250029,2021-12-31,2872000000.0,0.0,K,2021
016250029,2020-12-31,1633200000.0,553900000.0,C,2020
016250029,2019-12-31,30159000000.0,8747000000.0,K,2019
016450942,2022-12-31,0.0,44294.0,C,2022
016450942,2021-12-31,0.0,-26202.0,C,2021
016450942,2020-12-31,0.0,-1313.0,C,2020
016450942,2019-12-31,0.0,165410.0,C,2019
016950842,2022-12-31,354542479.0,15593291.0,C,2022
016950842,2021-12-31,329894170.0,3412082.0,C,2021
016950842,2020-12-31,288074681.0,6038523.0,C,2020
016950842,2019-12-31,301664561.0,4885196.0,C,2019
017251067,2022-12-31,371713000.0,3637000.0,C,2022
017251067,2021-12-31,274648000.0,-15170000.0,C,2021
017251067,2020-12-31,253165664.0,-9114349.0,C,2020
017251067,2019-12-31,263344571.0,-3752473.0,C,2019
025550120,2021-12-31,177082126.0,1386301.0,C,2021
025550120,2020-12-31,157528969.0,57970.0,C,2020
025550120,2019-12-31,160916296.0,-54704.0,C,2019
045550258,2021-12-31,244592000.0,39111000.0,C,2021
054200415,2022-12-31,165708255.0,7347444.0,C,2022
054200415,2021-12-31,159647879.0,8053553.0,C,2021
054200415,2020-12-31,247567750.0,6290395.0,C,2020
054200415,2019-12-31,136408985.0,4532803.0,C,2019
054800958,2022-12-31,692401792.0,26795338.0,C,2022
054800958,2021-12-31,641746898.0,24036598.0,C,2021
054800958,2020-12-31,544285265.0,19000571.0,C,2020
054800958,2019-12-31,578328650.0,15978689.0,C,2019
055800296,2021-12-31,8042600000.0,160300000.0,K,2021
055800296,2020-12-31,0.0,-6000000.0,K,2020
055800296,2019-12-31,0.0,103900000.0,K,2019
055801849,2022-12-31,16650788.0,291741.0,C,2022
055801849,2021-12-31,16166018.0,267804.0,C,2021
055801849,2020-12-31,12972164.0,-537796.0,C,2020
055801849,2019-12-31,16902835.0,-202109.0,C,2019
055804124,2022-12-31,20676800000.0,2724000000.0,K,2022
055804124,2021-12-31,19771500000.0,20224000000.0,K,2021
055804124,2020-12-31,24109400000.0,1562900000.0,K,2020
055804124,2019-12-31,24843400000.0,1408400000.0,K,2019
056501711,2022-09-30,1463164133.0,178793547.0,C,2022
056501711,2021-09-30,1352925930.0,130475875.0,C,2021
056501711,2020-09-30,1246719937.0,104159328.0,C,2020
056501711,2019-09-30,1137974483.0,91437078.0,C,2019
056502248,2022-12-31,1911766000.0,97791000.0,K,2022
056502248,2021-12-31,1769662000.0,0.0,K,2021
056502248,2019-12-31,1499117000.0,0.0,K,2019
056503097,2022-12-31,462537383.0,22644357.0,C,2022
056503097,2021-12-31,372558930.0,28526188.0,C,2021
056503097,2020-12-31,280177848.0,10931532.0,C,2020
056503097,2019-12-31,267093683.0,9280837.0,C,2019
056800659,2022-12-31,591471000.0,139026000.0,C,2022
056800659,2021-12-31,542619000.0,26063000.0,C,2021
056800659,2020-12-31,1330520000.0,-6405000.0,K,2020
056800659,2019-12-31,1486199000.0,0.0,K,2019
057502742,2022-12-31,112528159.0,2700524.0,C,2022
057502742,2021-12-31,113909420.0,749059.0,C,2021
057502742,2020-12-31,100722899.0,1660803.0,C,2020
057502742,2019-12-31,115626290.0,2596892.0,C,2019
057505539,2022-12-31,3642063000.0,175444000.0,K,2022
057505539,2021-12-31,3122940000.0,222184000.0,K,2021
057505539,2020-12-31,2805162000.0,172144000.0,K,2020
057505539,2019-12-31,2739993000.0,159870000.0,K,2019
057801730,2022-12-31,105589000.0,-31058000.0,K,2022
057801730,2021-12-31,89732000.0,-20911000.0,K,2021
057801730,2020-12-31,56612000.0,-26720000.0,K,2020
057801730,2019-12-31,94035000.0,-6771000.0,K,2019
057802753,2022-12-31,515062181.0,25843253.0,C,2022
057802753,2021-12-31,478127956.0,23064573.0,C,2021
057802753,2020-12-31,409856784.0,12394032.0,C,2020
057802753,2019-12-31,431525732.0,6876038.0,C,2019
057806150,2021-12-31,65996781.0,11668349.0,C,2021
057806150,2020-12-31,67301099.0,-6793192.0,C,2020
057806150,2019-12-31,74263034.0,-16431556.0,C,2019
057813131,2022-12-31,126599012.0,-38657.0,C,2022
057813131,2021-12-31,114244202.0,2837333.0,C,2021
057813131,2020-12-31,112914548.0,4252199.0,C,2020
057813131,2019-12-31,111747693.0,2410553.0,C,2019
058801481,2020-12-31,0.0,53032000.0,K,2020
058811670,2022-12-31,474000000.0,38000000.0,K,2022
058811670,2020-12-31,440000000.0,43000000.0,K,2020
058811670,2019-12-31,440000000.0,36000000.0,K,2019
060801388,2022-12-31,156900475.0,9104213.0,C,2022
060801388,2021-12-31,157251676.0,12386950.0,C,2021
060801388,2020-12-31,133129358.0,8271485.0,C,2020
060801388,2019-12-31,167483825.0,7134071.0,C,2019
060801396,2022-12-31,139448626.0,7314420.0,C,2022
060801396,2021-12-31,133139253.0,9557705.0,C,2021
060801396,2020-12-31,124039153.0,5443628.0,C,2020
060801396,2019-12-31,130073014.0,4806133.0,C,2019
061500245,2022-12-31,161217796.0,9699333.0,C,2022
061500245,2021-12-31,162562820.0,9018194.0,C,2021
062200753,2022-12-31,118744797.0,9025343.0,C,2022
062200753,2021-12-31,112385129.0,8951792.0,C,2021
062200753,2020-12-31,70270234.0,3080132.0,C,2020
062200753,2019-12-31,67130937.0,2106884.0,C,2019
062201009,2022-12-31,193802999.0,21127377.0,C,2022
062201009,2020-12-31,157319922.0,12246825.0,C,2020
062201009,2019-12-31,176565834.0,13947250.0,C,2019
063200885,2023-08-31,157441723.0,10048599.0,K,2023
063200885,2022-08-31,134918521.0,7602541.0,K,2022
063200885,2021-08-31,118915166.0,7388446.0,K,2021
063200885,2020-08-31,105470753.0,4863939.0,K,2020
063200885,2019-08-31,104241024.0,5018930.0,K,2019
066201120,2022-12-31,211281675.0,1179186.0,C,2022
066201120,2021-12-31,215358139.0,2949830.0,C,2021
066201120,2020-12-31,178372457.0,2499783.0,C,2020
066201120,2019-12-31,172689914.0,1854909.0,C,2019
067800425,2021-12-31,747821036.0,33615312.0,C,2021
067800425,2020-12-31,709525276.0,25452880.0,C,2020
067800425,2019-12-31,699076668.0,10207854.0,C,2019
068803055,2022-12-31,123462384.0,-1071503.0,C,2022
068803055,2021-12-31,118525853.0,-36177149.0,C,2021
068803055,2020-12-31,113967679.0,-22341385.0,C,2020
068803055,2019-12-31,118905023.0,-43671523.0,C,2019
069200210,2022-09-30,94505769.0,3586638.0,C,2022
069200210,2021-09-30,80877732.0,3020310.0,C,2021
069200210,2020-09-30,74117675.0,2934362.0,C,2020
069200210,2019-09-30,70214230.0,3990922.0,C,2019
071501571,2022-12-31,21717000.0,14625000.0,C,2022
071501571,2021-12-31,19909000.0,23926000.0,C,2021
071501571,2020-12-31,412643000.0,2587000.0,K,2020
071501571,2019-12-31,451980000.0,35301000.0,K,2019
071502397,2021-12-31,541963463.0,24020825.0,C,2021
